rt,acc,subject,word,priming_effect,speech_isochrony,syllable_number
1579.6879,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,dinosaur,consistent,original,trisyllabic
831.4542,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,donkey,inconsistent,original,disyllabic
1028.8661,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,dinosaur,inconsistent,original,trisyllabic
1329.581,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,gorilla,inconsistent,original,trisyllabic
1675.5696,0,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,octopus,consistent,original,trisyllabic
1531.5158,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,goldfish,consistent,original,disyllabic
1057.6144000000002,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,lionfish,consistent,original,trisyllabic
745.1413,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,goldfish,inconsistent,original,disyllabic
829.9514,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,elephant,consistent,original,trisyllabic
729.4116,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,elephant,inconsistent,original,trisyllabic
2423.8983,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,mosquito,consistent,original,trisyllabic
1492.0019,0,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,turtle,consistent,original,disyllabic
1027.3001,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,seahorse,inconsistent,original,disyllabic
1419.979,0,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,antelope,inconsistent,original,trisyllabic
1327.7937,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,jellyfish,inconsistent,original,trisyllabic
911.1882,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,spider,inconsistent,original,disyllabic
