sub,priming,word,ifanimal,ifcorr,rt,exp_type,syl
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,gorilla,TRUE,1,1.7984954,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,rubbish,FALSE,1,1.0771819,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,turkey,TRUE,1,2.0251107,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,seahorse,TRUE,1,1.1108628,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,kangaroo,TRUE,1,1.7240343,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,basket,FALSE,1,1.0314619,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,kangaroo,TRUE,1,1.5153103,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,pigeon,TRUE,0,2.3092039,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,lionfish,TRUE,1,1.5188505,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,elephant,TRUE,1,1.1303939,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,basket,FALSE,1,1.6313137,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,musical,FALSE,1,1.122638,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,umbrella,FALSE,1,1.6122742,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,carrot,FALSE,0,1.7236132,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,monkey,TRUE,1,1.5287654,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,turkey,TRUE,1,1.0248231,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,medicine,FALSE,1,1.0076221,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,donkey,TRUE,1,1.4571949,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,spider,TRUE,1,0.969816,exp1,2
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,dinosaur,TRUE,1,1.6417486,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,primingeq,anxiety,FALSE,1,1.1777847,exp1,3
312-liangqijun_linguistic_rhythm_priming_2023-03-12_15h17.53.728.csv,priming,guitar,FALSE,1,1.0142883,exp1,2
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,primingeq,dolphin,TRUE,1,1.3295623,exp1,2
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,priming,mountain,FALSE,1,1.4000579,exp1,2
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,priming,onion,FALSE,1,1.0654559,exp1,2
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,priming,violin,FALSE,1,1.481321,exp1,2
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,primingeq,turkey,TRUE,0,1.7299663,exp1,2
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,priming,balcony,FALSE,1,1.3069424,exp1,3
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,primingeq,octopus,TRUE,0,1.7004158,exp1,3
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,priming,canary,TRUE,0,1.4306813,exp1,3
